;Tweet;sentimen;step01;tokens;final_tokens;step02;ProcessedText
47;@FiersaBesari Masalah di tempat kerjaan gw kenapa bos nya pelit banget si padahal banyak uang tapi ke karyawan peli… https://t.co/5yPg7koV8j;0;user masalah di tempat kerjaan gw kenapa bos nya pelit banget si padahal banyak uang tapi ke karyawan peli co5ypg7kov8j;['user', 'masalah', 'di', 'tempat', 'kerjaan', 'gw', 'kenapa', 'bos', 'nya', 'pelit', 'banget', 'si', 'padahal', 'banyak', 'uang', 'tapi', 'ke', 'karyawan', 'peli', 'co5ypg7kov8j'];['user', 'masalah', 'di', 'tempat', 'kerjaan', 'saya', 'kenapa', 'bos', 'nya', 'pelit', 'banget', 'sih', 'padahal', 'banyak', 'uang', 'tapi', 'ke', 'karyawan', 'peli', 'co5ypg7kov8j'];user masalah di tempat kerjaan saya kenapa bos nya pelit banget sih padahal banyak uang tapi ke karyawan peli co5ypg7kov8j;user masalah tempat kerja kenapa bos nya pelit banget sih padahal banyak uang ke karyawan pel co5ypg7kov8j
48;@FiersaBesari Cuma pengen banget, tapi ga kebangetan;0;user cuma pengen banget tapi ga kebangetan;['user', 'cuma', 'pengen', 'banget', 'tapi', 'ga', 'kebangetan'];['user', 'cuma', 'ingin', 'banget', 'tapi', 'tidak', 'kebangetan'];user cuma ingin banget tapi tidak kebangetan;user cuma banget tidak banget
49;@FiersaBesari Sekarang aku jadi tau, berjuang sendiri itu. . . . Bla bla bla seperti paranet;0;user sekarang aku jadi tau berjuang sendiri itu bla bla bla seperti paranet;['user', 'sekarang', 'aku', 'jadi', 'tau', 'berjuang', 'sendiri', 'itu', 'bla', 'bla', 'bla', 'seperti', 'paranet'];['user', 'sekarang', 'aku', 'jadi', 'tau', 'berjuang', 'sendiri', 'itu', 'bla', 'bla', 'bla', 'seperti', 'paranet'];user sekarang aku jadi tau berjuang sendiri itu bla bla bla seperti paranet;user sekarang aku jadi tau juang sendiri bla bla bla paranet
50;@fannysoegi @FiersaBesari @naufalbahir masa mas, om harusnya;0;user user user masa mas om harusnya;['user', 'user', 'user', 'masa', 'mas', 'om', 'harusnya'];['user', 'user', 'user', 'masa', 'mas', 'om', 'harusnya'];user user user masa mas om harusnya;user user user masa mas om harus
51;"RT @FiersaBesari: “Kita perlu kecewa untuk tahu bahagia. Bukankah luka menjadikan kita saling menguatkan?”
.
Terima kasih senang sendunya,…";0;rt user kita perlu kecewa untuk tahu bahagia bukankah luka menjadikan kita saling menguatkan terima kasih senang sendunya;['rt', 'user', 'kita', 'perlu', 'kecewa', 'untuk', 'tahu', 'bahagia', 'bukankah', 'luka', 'menjadikan', 'kita', 'saling', 'menguatkan', 'terima', 'kasih', 'senang', 'sendunya'];['rt', 'user', 'kita', 'perlu', 'kecewa', 'untuk', 'tahu', 'bahagia', 'bukankah', 'luka', 'menjadikan', 'kita', 'saling', 'menguatkan', 'terima', 'kasih', 'senang', 'sendunya'];rt user kita perlu kecewa untuk tahu bahagia bukankah luka menjadikan kita saling menguatkan terima kasih senang sendunya;rt user perlu kecewa tahu bahagia bukankah luka jadi saling kuat terima kasih senang sendu
52;@fannysoegi @FiersaBesari @naufalbahir Tolong spill cover bukunya kak;0;user user user tolong spill cover bukunya kak;['user', 'user', 'user', 'tolong', 'spill', 'cover', 'bukunya', 'kak'];['user', 'user', 'user', 'tolong', 'spill', 'cover', 'bukunya', 'kak'];user user user tolong spill cover bukunya kak;user user user spill cover buku kak
53;RT @FiersaBesari: Sampai jumpa, Kuala Lumpur ❤️ https://t.co/mAwzEzIHfv;0;rt user sampai jumpa kuala lumpur comawzezihfv;['rt', 'user', 'sampai', 'jumpa', 'kuala', 'lumpur', 'comawzezihfv'];['rt', 'user', 'sampai', 'jumpa', 'kuala', 'lumpur', 'comawzezihfv'];rt user sampai jumpa kuala lumpur comawzezihfv;rt user jumpa kuala lumpur comawzezihfv
54;"RT @nazmrd: “Pasti kau temukan aku di Garis terdepan..”

@FiersaBesari @ELMIELMO #FiersaBesariLiveInKL #healingbersamabung https://t.co/1sf…";0;rt user pasti kau temukan aku di garis terdepan user user hashtag fiersa besari live in kl hashtag hashtag healing bersama bung hashtag co1sf;['rt', 'user', 'pasti', 'kau', 'temukan', 'aku', 'di', 'garis', 'terdepan', 'user', 'user', 'hashtag', 'fiersa', 'besari', 'live', 'in', 'kl', 'hashtag', 'hashtag', 'healing', 'bersama', 'bung', 'hashtag', 'co1sf'];['rt', 'user', 'pasti', 'kau', 'temukan', 'aku', 'di', 'garis', 'terdepan', 'user', 'user', 'hashtag', 'fiersa', 'besari', 'live', 'in', 'kalau', 'hashtag', 'hashtag', 'healing', 'bersama', 'bung', 'hashtag', 'co1sf'];rt user pasti kau temukan aku di garis terdepan user user hashtag fiersa besari live in kalau hashtag hashtag healing bersama bung hashtag co1sf;rt user kau temu aku garis depan user user hashtag fiersa besar live in kalau hashtag hashtag healing sama bung hashtag co1sf
55;RT @FiersaBesari: Udah enggak bisa berhenti 🥺 https://t.co/6Kx0f0Pj4R;0;rt user udah enggak bisa berhenti co6kx0f0pj4r;['rt', 'user', 'udah', 'enggak', 'bisa', 'berhenti', 'co6kx0f0pj4r'];['rt', 'user', 'sudah', 'enggak', 'bisa', 'berhenti', 'co6kx0f0pj4r'];rt user sudah enggak bisa berhenti co6kx0f0pj4r;rt user enggak henti co6kx0f0pj4r
56;"“Pasti kau temukan aku di Garis terdepan..”

@FiersaBesari @ELMIELMO #FiersaBesariLiveInKL #healingbersamabung https://t.co/1sfLGC2QdN";0;pasti kau temukan aku di garis terdepan user user hashtag fiersa besari live in kl hashtag hashtag healing bersama bung hashtag co1sflgc2qdn;['pasti', 'kau', 'temukan', 'aku', 'di', 'garis', 'terdepan', 'user', 'user', 'hashtag', 'fiersa', 'besari', 'live', 'in', 'kl', 'hashtag', 'hashtag', 'healing', 'bersama', 'bung', 'hashtag', 'co1sflgc2qdn'];['pasti', 'kau', 'temukan', 'aku', 'di', 'garis', 'terdepan', 'user', 'user', 'hashtag', 'fiersa', 'besari', 'live', 'in', 'kalau', 'hashtag', 'hashtag', 'healing', 'bersama', 'bung', 'hashtag', 'co1sflgc2qdn'];pasti kau temukan aku di garis terdepan user user hashtag fiersa besari live in kalau hashtag hashtag healing bersama bung hashtag co1sflgc2qdn;kau temu aku garis depan user user hashtag fiersa besar live in kalau hashtag hashtag healing sama bung hashtag co1sflgc2qdn
57;Hii sir @NA @koiltv @FiersaBesari https://t.co/lzyR9lTWk2;0;hii sir user user user colzyr9ltwk2;['hii', 'sir', 'user', 'user', 'user', 'colzyr9ltwk2'];['hii', 'sir', 'user', 'user', 'user', 'colzyr9ltwk2'];hii sir user user user colzyr9ltwk2;hii sir user user user colzyr9ltwk2
58;RT @yshqlz: Depan stage pergi sendiri. Jumpa member baru. Can’t wait @FiersaBesari  @AngkasaSpace @ELMIELMO #FiersaBesariLiveinKL https://t…;0;rt user depan stage pergi sendiri jumpa member baru can wait user user user hashtag fiersa besari livein kl hashtag https;['rt', 'user', 'depan', 'stage', 'pergi', 'sendiri', 'jumpa', 'member', 'baru', 'can', 'wait', 'user', 'user', 'user', 'hashtag', 'fiersa', 'besari', 'livein', 'kl', 'hashtag', 'https'];['rt', 'user', 'depan', 'stage', 'pergi', 'sendiri', 'jumpa', 'member', 'baru', 'can', 'wait', 'user', 'user', 'user', 'hashtag', 'fiersa', 'besari', 'livein', 'kalau', 'hashtag', 'https'];rt user depan stage pergi sendiri jumpa member baru can wait user user user hashtag fiersa besari livein kalau hashtag https;rt user depan stage pergi sendiri jumpa member baru can wait user user user hashtag fiersa besar livein kalau hashtag https
59;@FiersaBesari @dsuperboy Dewasaku hanya ketika batinku merasa tersisih oleh keadaan dan teriris oleh realita, tapi… https://t.co/fYTGVOUEWH;0;user user dewasaku hanya ketika batinku merasa tersisih oleh keadaan dan teriris oleh realita tapi cofytgvouewh;['user', 'user', 'dewasaku', 'hanya', 'ketika', 'batinku', 'merasa', 'tersisih', 'oleh', 'keadaan', 'dan', 'teriris', 'oleh', 'realita', 'tapi', 'cofytgvouewh'];['user', 'user', 'dewasaku', 'hanya', 'ketika', 'batinku', 'merasa', 'tersisih', 'oleh', 'keadaan', 'dan', 'teriris', 'oleh', 'realita', 'tapi', 'cofytgvouewh'];user user dewasaku hanya ketika batinku merasa tersisih oleh keadaan dan teriris oleh realita tapi cofytgvouewh;user user dewasa ketika batin rasa sisih ada iris realita cofytgvouewh
60;Depan stage pergi sendiri. Jumpa member baru. Can’t wait @FiersaBesari  @AngkasaSpace @ELMIELMO… https://t.co/npPVRYrBes;0;depan stage pergi sendiri jumpa member baru can wait user user user conppvryrbes;['depan', 'stage', 'pergi', 'sendiri', 'jumpa', 'member', 'baru', 'can', 'wait', 'user', 'user', 'user', 'conppvryrbes'];['depan', 'stage', 'pergi', 'sendiri', 'jumpa', 'member', 'baru', 'can', 'wait', 'user', 'user', 'user', 'conppvryrbes'];depan stage pergi sendiri jumpa member baru can wait user user user conppvryrbes;depan stage pergi sendiri jumpa member baru can wait user user user conppvryrbes
61;RT @FiersaBesari: Sampai jumpa, Kuala Lumpur ❤️ https://t.co/mAwzEzIHfv;0;rt user sampai jumpa kuala lumpur comawzezihfv;['rt', 'user', 'sampai', 'jumpa', 'kuala', 'lumpur', 'comawzezihfv'];['rt', 'user', 'sampai', 'jumpa', 'kuala', 'lumpur', 'comawzezihfv'];rt user sampai jumpa kuala lumpur comawzezihfv;rt user jumpa kuala lumpur comawzezihfv
62;RT @FiersaBesari: Sampai jumpa, Kuala Lumpur ❤️ https://t.co/mAwzEzIHfv;0;rt user sampai jumpa kuala lumpur comawzezihfv;['rt', 'user', 'sampai', 'jumpa', 'kuala', 'lumpur', 'comawzezihfv'];['rt', 'user', 'sampai', 'jumpa', 'kuala', 'lumpur', 'comawzezihfv'];rt user sampai jumpa kuala lumpur comawzezihfv;rt user jumpa kuala lumpur comawzezihfv
63;@acu_ct @FiersaBesari HAHAHAHAH SIAPA SURUH TAK PERGI HAHAHAHA😂🤣;1;user user hahahahah siapa suruh tak pergi hahahaha;['user', 'user', 'hahahahah', 'siapa', 'suruh', 'tak', 'pergi', 'hahahaha'];['user', 'user', 'hahahahah', 'siapa', 'suruh', 'tak', 'pergi', 'hahahaha'];user user hahahahah siapa suruh tak pergi hahahaha;user user hahahahah siapa suruh tak pergi hahahaha
64;RT @FiersaBesari: Lagu Tulus kesukaanmu https://t.co/OHIFOot5hr;0;rt user lagu tulus kesukaanmu coohifoot5hr;['rt', 'user', 'lagu', 'tulus', 'kesukaanmu', 'coohifoot5hr'];['rt', 'user', 'lagu', 'tulus', 'kesukaanmu', 'coohifoot5hr'];rt user lagu tulus kesukaanmu coohifoot5hr;rt user lagu tulus suka coohifoot5hr
65;"RT @FiersaBesari: “Kita perlu kecewa untuk tahu bahagia. Bukankah luka menjadikan kita saling menguatkan?”
.
Terima kasih senang sendunya,…";0;rt user kita perlu kecewa untuk tahu bahagia bukankah luka menjadikan kita saling menguatkan terima kasih senang sendunya;['rt', 'user', 'kita', 'perlu', 'kecewa', 'untuk', 'tahu', 'bahagia', 'bukankah', 'luka', 'menjadikan', 'kita', 'saling', 'menguatkan', 'terima', 'kasih', 'senang', 'sendunya'];['rt', 'user', 'kita', 'perlu', 'kecewa', 'untuk', 'tahu', 'bahagia', 'bukankah', 'luka', 'menjadikan', 'kita', 'saling', 'menguatkan', 'terima', 'kasih', 'senang', 'sendunya'];rt user kita perlu kecewa untuk tahu bahagia bukankah luka menjadikan kita saling menguatkan terima kasih senang sendunya;rt user perlu kecewa tahu bahagia bukankah luka jadi saling kuat terima kasih senang sendu
66;@lusinotluci @FiersaBesari Bestnyaaa😭😭;0;user user bestnyaaa;['user', 'user', 'bestnyaaa'];['user', 'user', 'bestnyaaa'];user user bestnyaaa;user user bestnyaaa
67;Niatnya main mainn ehhh keterusan suka https://t.co/3koFMVZPNS;1;niatnya main mainn ehhh keterusan suka co3kofmvzpns;['niatnya', 'main', 'mainn', 'ehhh', 'keterusan', 'suka', 'co3kofmvzpns'];['niatnya', 'main', 'mainn', 'ehhh', 'keterusan', 'suka', 'co3kofmvzpns'];niatnya main mainn ehhh keterusan suka co3kofmvzpns;niat main mainn ehhh terus suka co3kofmvzpns
68;Healing bersama bung @FiersaBesari https://t.co/ZPZlbz8G2x;0;healing bersama bung user cozpzlbz8g2x;['healing', 'bersama', 'bung', 'user', 'cozpzlbz8g2x'];['healing', 'bersama', 'bung', 'user', 'cozpzlbz8g2x'];healing bersama bung user cozpzlbz8g2x;healing sama bung user cozpzlbz8g2x
69;RT @sukaseblk: @FiersaBesari yang perlu diperhatikan adalah sikap/tanggapan/reaksi kita untuk orang, bukan omongan/perilaku orang. gak usah…;0;rt user user yang perlu diperhatikan adalah sikap tanggapan reaksi kita untuk orang bukan omongan perilaku orang gak usah;['rt', 'user', 'user', 'yang', 'perlu', 'diperhatikan', 'adalah', 'sikap', 'tanggapan', 'reaksi', 'kita', 'untuk', 'orang', 'bukan', 'omongan', 'perilaku', 'orang', 'gak', 'usah'];['rt', 'user', 'user', 'yang', 'perlu', 'diperhatikan', 'adalah', 'sikap', 'tanggapan', 'reaksi', 'kita', 'untuk', 'orang', 'bukan', 'omongan', 'perilaku', 'orang', 'tidak', 'usah'];rt user user yang perlu diperhatikan adalah sikap tanggapan reaksi kita untuk orang bukan omongan perilaku orang tidak usah;rt user user perlu perhati sikap tanggap reaksi untuk orang bukan omong perilaku orang usah
70;@FiersaBesari Kadang berfikir klo kewarasan adalah taruhan ketika memilih bertahan, semoga yang aku pertahanin gak… https://t.co/iKqk1tIP9Z;0;user kadang berfikir klo kewarasan adalah taruhan ketika memilih bertahan semoga yang aku pertahanin gak coikqk1tip9z;['user', 'kadang', 'berfikir', 'klo', 'kewarasan', 'adalah', 'taruhan', 'ketika', 'memilih', 'bertahan', 'semoga', 'yang', 'aku', 'pertahanin', 'gak', 'coikqk1tip9z'];['user', 'kadang', 'berfikir', 'kalau', 'kewarasan', 'adalah', 'taruhan', 'ketika', 'memilih', 'bertahan', 'semoga', 'yang', 'aku', 'pertahanin', 'tidak', 'coikqk1tip9z'];user kadang berfikir kalau kewarasan adalah taruhan ketika memilih bertahan semoga yang aku pertahanin tidak coikqk1tip9z;user kadang berfikir kalau waras taruh pilih tahan moga aku pertahanin coikqk1tip9z
71;RT @langkasuka_my: Jumpa malam ni semua!! @FiersaBesari @AngkasaSpace @HWLabs_io;0;rt user jumpa malam ni semua user user user;['rt', 'user', 'jumpa', 'malam', 'ni', 'semua', 'user', 'user', 'user'];['rt', 'user', 'jumpa', 'malam', 'ini', 'semua', 'user', 'user', 'user'];rt user jumpa malam ini semua user user user;rt user jumpa malam semua user user user
72;RT @ellyysni: Sampai ketemu nanti mas @FiersaBesari 💃🏻🕺🏻@langkasuka_my https://t.co/WBH0LMV3UA;0;rt user sampai ketemu nanti mas user user cowbh0lmv3ua;['rt', 'user', 'sampai', 'ketemu', 'nanti', 'mas', 'user', 'user', 'cowbh0lmv3ua'];['rt', 'user', 'sampai', 'ketemu', 'nanti', 'mas', 'user', 'user', 'cowbh0lmv3ua'];rt user sampai ketemu nanti mas user user cowbh0lmv3ua;rt user ketemu mas user user cowbh0lmv3ua
73;@fannysoegi @naufalbahir Bukunya terlihat sudah beda lagi, padahal yang itu belum selesai 👋🏼;0;user user bukunya terlihat sudah beda lagi padahal yang itu belum selesai;['user', 'user', 'bukunya', 'terlihat', 'sudah', 'beda', 'lagi', 'padahal', 'yang', 'itu', 'belum', 'selesai'];['user', 'user', 'bukunya', 'terlihat', 'sudah', 'beda', 'lagi', 'padahal', 'yang', 'itu', 'belum', 'selesai'];user user bukunya terlihat sudah beda lagi padahal yang itu belum selesai;user user buku lihat beda padahal itu selesai
74;Jumpa kawan jap @FiersaBesari kat #FiersabesariliveinKL https://t.co/jCWuenHQaS;0;jumpa kawan jap user kat hashtag fiersabesarilivein kl hashtag cojcwuenhqas;['jumpa', 'kawan', 'jap', 'user', 'kat', 'hashtag', 'fiersabesarilivein', 'kl', 'hashtag', 'cojcwuenhqas'];['jumpa', 'kawan', 'jap', 'user', 'kat', 'hashtag', 'fiersabesarilivein', 'kalau', 'hashtag', 'cojcwuenhqas'];jumpa kawan jap user kat hashtag fiersabesarilivein kalau hashtag cojcwuenhqas;jumpa kawan jap user kat hashtag fiersabesarilivein kalau hashtag cojcwuenhqas
75;"RT @HWLabs_io: Jumpa nanti di Zepp, KL malam ini untuk Malam Galau Indonesia di Malaysia.

Maklumat mengenai konsert boleh dirujuk di @Angk…";0;rt user jumpa nanti di zepp kl malam ini untuk malam galau indonesia di malaysia maklumat mengenai konsert boleh dirujuk di user;['rt', 'user', 'jumpa', 'nanti', 'di', 'zepp', 'kl', 'malam', 'ini', 'untuk', 'malam', 'galau', 'indonesia', 'di', 'malaysia', 'maklumat', 'mengenai', 'konsert', 'boleh', 'dirujuk', 'di', 'user'];['rt', 'user', 'jumpa', 'nanti', 'di', 'zepp', 'kalau', 'malam', 'ini', 'untuk', 'malam', 'galau', 'indonesia', 'di', 'malaysia', 'maklumat', 'mengenai', 'konsert', 'boleh', 'dirujuk', 'di', 'user'];rt user jumpa nanti di zepp kalau malam ini untuk malam galau indonesia di malaysia maklumat mengenai konsert boleh dirujuk di user;rt user jumpa zepp kalau malam untuk malam galau indonesia malaysia maklumat kena konsert rujuk di user
76;"Salah satu fase terbaik manusia adalah ketika dia sudah bisa menertawakan masalalunya yang menyakitkan.
- bung… https://t.co/hDBHdQ8dLL";0;salah satu fase terbaik manusia adalah ketika dia sudah bisa menertawakan masalalunya yang menyakitkan bung cohdbhdq8dll;['salah', 'satu', 'fase', 'terbaik', 'manusia', 'adalah', 'ketika', 'dia', 'sudah', 'bisa', 'menertawakan', 'masalalunya', 'yang', 'menyakitkan', 'bung', 'cohdbhdq8dll'];['salah', 'satu', 'fase', 'terbaik', 'manusia', 'adalah', 'ketika', 'dia', 'sudah', 'bisa', 'menertawakan', 'masalalunya', 'yang', 'menyakitkan', 'bung', 'cohdbhdq8dll'];salah satu fase terbaik manusia adalah ketika dia sudah bisa menertawakan masalalunya yang menyakitkan bung cohdbhdq8dll;salah satu fase baik manusia ketika sudah tertawa masalalunya sakit bung cohdbhdq8dll
77;RT @FiersaBesari: “Tertawa lagi, tutupi sakit. Terasa sesak hingga tangis pun meledak. Ingin teriak, ingin didengar. Namun tersadar, tiada…;0;rt user tertawa lagi tutupi sakit terasa sesak hingga tangis pun meledak ingin teriak ingin didengar namun tersadar tiada;['rt', 'user', 'tertawa', 'lagi', 'tutupi', 'sakit', 'terasa', 'sesak', 'hingga', 'tangis', 'pun', 'meledak', 'ingin', 'teriak', 'ingin', 'didengar', 'namun', 'tersadar', 'tiada'];['rt', 'user', 'tertawa', 'lagi', 'tutupi', 'sakit', 'terasa', 'sesak', 'hingga', 'tangis', 'pun', 'meledak', 'ingin', 'teriak', 'ingin', 'didengar', 'namun', 'tersadar', 'tiada'];rt user tertawa lagi tutupi sakit terasa sesak hingga tangis pun meledak ingin teriak ingin didengar namun tersadar tiada;rt user tertawa tutup sakit asa sesak hingga tangis ledak teriak dengar sadar tiada
78;Sabar yaa ges, sampai ketemu tanggal 4 November dengan bung @fiersabesari https://t.co/8qKwOI3nN5;0;sabar yaa ges sampai ketemu tanggal date dengan bung user co8qkwoi3nn5;['sabar', 'yaa', 'ges', 'sampai', 'ketemu', 'tanggal', 'date', 'dengan', 'bung', 'user', 'co8qkwoi3nn5'];['sabar', 'iya', 'ges', 'sampai', 'ketemu', 'tanggal', 'date', 'dengan', 'bung', 'user', 'co8qkwoi3nn5'];sabar iya ges sampai ketemu tanggal date dengan bung user co8qkwoi3nn5;sabar iya ges ketemu tanggal date bung user co8qkwoi3nn5
79;RT @raditya_ok: @agstt @FiersaBesari Mulutku terkatup dan tak mampu bertutur, walau kepalaku berorasi riuh dalam tema merindu.;1;rt user user user mulutku terkatup dan tak mampu bertutur walau kepalaku berorasi riuh dalam tema merindu;['rt', 'user', 'user', 'user', 'mulutku', 'terkatup', 'dan', 'tak', 'mampu', 'bertutur', 'walau', 'kepalaku', 'berorasi', 'riuh', 'dalam', 'tema', 'merindu'];['rt', 'user', 'user', 'user', 'mulutku', 'terkatup', 'dan', 'tak', 'mampu', 'bertutur', 'walau', 'kepalaku', 'berorasi', 'riuh', 'dalam', 'tema', 'merindu'];rt user user user mulutku terkatup dan tak mampu bertutur walau kepalaku berorasi riuh dalam tema merindu;rt user user user mulut katup tak mampu tutur kepala orasi riuh tema rindu
80;@FiersaBesari Besok segitu;0;user besok segitu;['user', 'besok', 'segitu'];['user', 'besok', 'segitu'];user besok segitu;user besok segitu
81;RT @agitayuana: @FiersaBesari Semesta, aku sayang laki-laki ini. Kagum tidak ada batasnya. Berlebihan tapi nyata. Hari ini, apapun yg ada d…;0;rt user user semesta aku sayang laki laki ini kagum tidak ada batasnya berlebihan tapi nyata hari ini apapun yg ada;['rt', 'user', 'user', 'semesta', 'aku', 'sayang', 'laki', 'laki', 'ini', 'kagum', 'tidak', 'ada', 'batasnya', 'berlebihan', 'tapi', 'nyata', 'hari', 'ini', 'apapun', 'yg', 'ada'];['rt', 'user', 'user', 'semesta', 'aku', 'sayang', 'laki', 'laki', 'ini', 'kagum', 'tidak', 'ada', 'batasnya', 'berlebihan', 'tapi', 'nyata', 'hari', 'ini', 'apapun', 'yang', 'ada'];rt user user semesta aku sayang laki laki ini kagum tidak ada batasnya berlebihan tapi nyata hari ini apapun yang ada;rt user user semesta aku sayang laki laki kagum ada batas lebih nyata hari apa ada
82;RT @saifulzamir: Wahh bung @FiersaBesari menjuarai carta minggu ini. Malam ini juga bakal berlangsung #FiersaBesariLiveinKL wehuuu @Angkasa…;0;rt user wahh bung user menjuarai carta minggu ini malam ini juga bakal berlangsung hashtag fiersa besari livein kl hashtag wehuuu user;['rt', 'user', 'wahh', 'bung', 'user', 'menjuarai', 'carta', 'minggu', 'ini', 'malam', 'ini', 'juga', 'bakal', 'berlangsung', 'hashtag', 'fiersa', 'besari', 'livein', 'kl', 'hashtag', 'wehuuu', 'user'];['rt', 'user', 'wahh', 'bung', 'user', 'menjuarai', 'carta', 'minggu', 'ini', 'malam', 'ini', 'juga', 'bakal', 'berlangsung', 'hashtag', 'fiersa', 'besari', 'livein', 'kalau', 'hashtag', 'wehuuu', 'user'];rt user wahh bung user menjuarai carta minggu ini malam ini juga bakal berlangsung hashtag fiersa besari livein kalau hashtag wehuuu user;rt user wahh bung user juara carta minggu malam juga bakal langsung hashtag fiersa besar livein kalau hashtag wehuuu user
83;RT @saifulzamir: Wahh bung @FiersaBesari menjuarai carta minggu ini. Malam ini juga bakal berlangsung #FiersaBesariLiveinKL wehuuu @Angkasa…;0;rt user wahh bung user menjuarai carta minggu ini malam ini juga bakal berlangsung hashtag fiersa besari livein kl hashtag wehuuu user;['rt', 'user', 'wahh', 'bung', 'user', 'menjuarai', 'carta', 'minggu', 'ini', 'malam', 'ini', 'juga', 'bakal', 'berlangsung', 'hashtag', 'fiersa', 'besari', 'livein', 'kl', 'hashtag', 'wehuuu', 'user'];['rt', 'user', 'wahh', 'bung', 'user', 'menjuarai', 'carta', 'minggu', 'ini', 'malam', 'ini', 'juga', 'bakal', 'berlangsung', 'hashtag', 'fiersa', 'besari', 'livein', 'kalau', 'hashtag', 'wehuuu', 'user'];rt user wahh bung user menjuarai carta minggu ini malam ini juga bakal berlangsung hashtag fiersa besari livein kalau hashtag wehuuu user;rt user wahh bung user juara carta minggu malam juga bakal langsung hashtag fiersa besar livein kalau hashtag wehuuu user
84;Wahh bung @FiersaBesari menjuarai carta minggu ini. Malam ini juga bakal berlangsung #FiersaBesariLiveinKL wehuuu… https://t.co/SwH8T3OKij;0;wahh bung user menjuarai carta minggu ini malam ini juga bakal berlangsung hashtag fiersa besari livein kl hashtag wehuuu coswh8t3okij;['wahh', 'bung', 'user', 'menjuarai', 'carta', 'minggu', 'ini', 'malam', 'ini', 'juga', 'bakal', 'berlangsung', 'hashtag', 'fiersa', 'besari', 'livein', 'kl', 'hashtag', 'wehuuu', 'coswh8t3okij'];['wahh', 'bung', 'user', 'menjuarai', 'carta', 'minggu', 'ini', 'malam', 'ini', 'juga', 'bakal', 'berlangsung', 'hashtag', 'fiersa', 'besari', 'livein', 'kalau', 'hashtag', 'wehuuu', 'coswh8t3okij'];wahh bung user menjuarai carta minggu ini malam ini juga bakal berlangsung hashtag fiersa besari livein kalau hashtag wehuuu coswh8t3okij;wahh bung user juara carta minggu malam juga bakal langsung hashtag fiersa besar livein kalau hashtag wehuuu coswh8t3okij
85;"RT @FiersaBesari: “Kita perlu kecewa untuk tahu bahagia. Bukankah luka menjadikan kita saling menguatkan?”
.
Terima kasih senang sendunya,…";0;rt user kita perlu kecewa untuk tahu bahagia bukankah luka menjadikan kita saling menguatkan terima kasih senang sendunya;['rt', 'user', 'kita', 'perlu', 'kecewa', 'untuk', 'tahu', 'bahagia', 'bukankah', 'luka', 'menjadikan', 'kita', 'saling', 'menguatkan', 'terima', 'kasih', 'senang', 'sendunya'];['rt', 'user', 'kita', 'perlu', 'kecewa', 'untuk', 'tahu', 'bahagia', 'bukankah', 'luka', 'menjadikan', 'kita', 'saling', 'menguatkan', 'terima', 'kasih', 'senang', 'sendunya'];rt user kita perlu kecewa untuk tahu bahagia bukankah luka menjadikan kita saling menguatkan terima kasih senang sendunya;rt user perlu kecewa tahu bahagia bukankah luka jadi saling kuat terima kasih senang sendu
86;@tubbirfess @FiersaBesari  gmna bung?;0;user user gmna bung;['user', 'user', 'gmna', 'bung'];['user', 'user', 'bagaimana', 'bung'];user user bagaimana bung;user user bagaimana bung
87;"RT @Dadih_1986: @FiersaBesari Sama bang, mauku juga cuma satu, istiqomah dlm ketaqwaan, karena seperti janji Alloh ""Barangsiapa yg bertaqwa…";0;rt user user sama bang mauku juga cuma satu istiqomah dlm ketaqwaan karena seperti janji alloh barangsiapa yg bertaqwa;['rt', 'user', 'user', 'sama', 'bang', 'mauku', 'juga', 'cuma', 'satu', 'istiqomah', 'dlm', 'ketaqwaan', 'karena', 'seperti', 'janji', 'alloh', 'barangsiapa', 'yg', 'bertaqwa'];['rt', 'user', 'user', 'sama', 'bang', 'mauku', 'juga', 'cuma', 'satu', 'istiqomah', 'dalam', 'ketaqwaan', 'karena', 'seperti', 'janji', 'alloh', 'barangsiapa', 'yang', 'bertaqwa'];rt user user sama bang mauku juga cuma satu istiqomah dalam ketaqwaan karena seperti janji alloh barangsiapa yang bertaqwa;rt user user sama bang mau cuma satu istiqomah ketaqwaan seperti janji alloh barangsiapa bertaqwa
88;Jumpa malam ni semua!! @FiersaBesari @AngkasaSpace @HWLabs_io https://t.co/73XFwwxX5m;0;jumpa malam ni semua user user user co73xfwwxx5m;['jumpa', 'malam', 'ni', 'semua', 'user', 'user', 'user', 'co73xfwwxx5m'];['jumpa', 'malam', 'ini', 'semua', 'user', 'user', 'user', 'co73xfwwxx5m'];jumpa malam ini semua user user user co73xfwwxx5m;jumpa malam semua user user user co73xfwwxx5m
89;RT @ellyysni: Sampai ketemu nanti mas @FiersaBesari 💃🏻🕺🏻@langkasuka_my https://t.co/WBH0LMV3UA;0;rt user sampai ketemu nanti mas user user cowbh0lmv3ua;['rt', 'user', 'sampai', 'ketemu', 'nanti', 'mas', 'user', 'user', 'cowbh0lmv3ua'];['rt', 'user', 'sampai', 'ketemu', 'nanti', 'mas', 'user', 'user', 'cowbh0lmv3ua'];rt user sampai ketemu nanti mas user user cowbh0lmv3ua;rt user ketemu mas user user cowbh0lmv3ua
